items_availability,items_manufacturer,items_name,items_old_price,items_price
 In Stock,xLab,"xLab x-Book Series XL-156P Laptop- i3, 8GB RAM, 256GB SSD, Fingerprint Security, 15.6"" Full HD Display",Rs. 66666,Rs. 64999
 In Stock,xLab,"xLab x-Book Series XL-156P Laptop- i3, 8GB RAM, 256GB SSD, Fingerprint Security, 15.6"" Full HD Display + Accessories",Rs. 69776,Rs. 66554
 In Stock,xLab,"xLab x-Book Series XL-156P Laptop- i3, 8GB RAM, 256GB SSD, Fingerprint Security, 15.6"" Full HD Display + Security & Software",Rs. 76666,Rs. 67999
 Out of Stock,Fitbit,FITBIT Alta HR Activity Tracker and Heart Rate Tracker Wristband- Black,,Rs. 24375
 Out of Stock,FB-C2,FITBIT Charge 2 Activity Tracker and Heart Rate Tracker Wristband- Black,,Rs. 25625
 In Stock,APPLE,"Apple M1 MacBook Air 2020 13.3"" Retina Display / Apple M1 Chip / 8GB RAM/ 256GB SSD",,"Rs. 150,000"
 In Stock,HP,"HP Pavilion 15-EH1070 Ryzen 7 5700U / AMD VEGA 8 / 8GB RAM / 512GB SSD / 15.6"" FHD Display",Rs. 110000,Rs. 109000
 In Stock,h,"HP Victus 16 2021 Ryzen 5 5600H / AMD Radeon™ RX 5500M 4096MB / 8GB RAM / 256GB SSD / 15.6"" FHD display",Rs. 132000,Rs. 125000
 In Stock,HP,"HP Spectre 13-v113tu 13.3""( i5 7th Gen, 8GB/256 GB SSD/ Windows 10 64- Home) Notebook PC",Rs. 192000,Rs. 184200
 In Stock,HP,"HP Notebook 15-EF2127 Ryzen 5 5500U / 8GB RAM / 256GB SSD / 15.6"" FHD Display",Rs. 89000,Rs. 80000
 In Stock,HP,"HP Notebook 14-FQ1021 Ryzen 5 5500U / 8GB RAM / 256GB SSD / 14"" FHD Display",,Rs. 85000
 Out of Stock,ACER,"ACER Travelmate TMP249 i5 14"" 4GB/1TB",,Rs. 72000
 Out of Stock,ACER,"ACER Swift 3 SF3 i5"" 14"" 8GB/256GB",Rs. 105000,Rs. 99750
 In Stock,ACER,"Acer Swift 3 2020 Ryzen 5 4500U / AMD VEGA 8 / 16GB RAM / 512GB SSD / 14"" FHD Display",,Rs. 100000
 Out of Stock,ASUS,ASUS VivoBooK Intel Core i5 8th Gen 14-inch (8GB/256GB SSD/Windows 10),,Rs. 82500
 Out of Stock,ASUS,"ASUS E202SA 11.6 Inch Laptops  ( 6TH Gen, 4GB/500GB HDD/ DOS / Integrated Graphics)",Rs. 41875,Rs. 36850
 In Stock,MSI,PL62 7RC,,Rs. 117000
 Out of Stock,3,Dell Inspiron 14-5468 14-Inch Notebook (Core I5 7th Gen -7200U/4GB/500GB/AMD Radeon R7 M440 Graphics with 2G DDR3),Rs. 76900,Rs. 65365
 In Stock,Lenovo,"Lenovo IdeaPad Gaming L340 15 i5 9300H / GTX 1650 / 8GB RAM / 256GB SSD + 1TB HDD / 15.6"" FHD",,"Rs. 108,000"
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i3 10th Gen 4GB RAM 1 TB HDD (14 inch  Display) ,Rs. 66000,Rs. 65000
 In Stock,Lenovo,"Lenovo IdeaPad 3 AMD 3020e/4GB/1TB-14""",Rs. 55000,Rs. 54000
 In Stock,Lenovo,"Lenovo IdeaPad S145 (14) i3 10th Gen / 4GB RAM / 1TB HDD / 15.6"" HD Display",Rs. 62000,Rs. 61000
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i5 10th Gen 8GB RAM 1 TB HDD (14 inch FHD Display),Rs. 99000,Rs. 92000
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i5 10th Gen 8GB DDR4 RAM 1 TB HDD (15.6 inch FHD Display),Rs. 109000,Rs. 102000
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i5 10th Gen 8GB DDR4 RAM 1 TB HDD + 128 GB SSD (15.6 inch FHD Display),Rs. 112000,Rs. 105000
 In Stock,Lenovo,"Lenovo IdeaPad 3  Laptop-Ryzen 7 3700U -8GB DDR4 RAM -128GB SSD / 15.6"" FHD (1920×1080)Display",Rs. 102000,Rs. 95000
 In Stock,Lenovo,Lenovo Thinkbook 14| Intel Core i5 10th Gen| 8GB RAM 256GB SSD| Backlit keyboard| 14 inch FHD Display| Business Series Laptop,Rs. 127000,Rs. 118000
 In Stock,Lenovo,Lenovo IdeaPad C340 yoga |Core i5 10th Gen | 8GB DDR4 | 256 GB SSD| NVIDIA GeForce MX230 2GB (14 inch FHD Display),Rs. 132000,Rs. 130800
 In Stock,Lenovo,Lenovo Flex 5 Intel I5-1135G7 /11 gen/ 8GB DDR4/ 512GB SSD / 14,Rs. 132000,Rs. 130800
 In Stock,Lenovo,Lenovo Flex 5 / Intel I5-1135G7 /11 gen/ 16GB DDR4/256GB SSD / 14 inch FHD 360-degree Touch display /2 GB NVIDIA Graphics/ Backlit Keyboard/Fingerprint Sensor/,Rs. 143000,Rs. 141000
 In Stock,Lenovo,"Lenovo Yoga 7 11th Gen i7-1165G7 / 8GB RAM / 512GB SSD / 14"" FHD-IPS 360-degree Touch display",Rs. 170000,Rs. 169000
 In Stock,Lenovo,"Lenovo Yoga 7 11th Gen i5-1135G7 / 8GB RAM / 512GB SSD / 14"" FHD-IPS 360-degree Touch display",Rs. 150000,Rs. 149500
 In Stock,Lenovo,"Lenovo Yoga 7 11th Gen Core i7-1165G7 / 8GB RAM / 512GB SSD / 14"" FHD-IPS 360-degree Touch display",Rs. 185000,Rs. 184000
 In Stock,Lenovo,Lenovo IdeaPad C740 yoga |Core i5 10th Gen | 8GB DDR4 | 512 GB SSD| NVIDIA GFX MX230 2GB (14 inch FHD IPS Display),Rs. 152000,Rs. 151500
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i7 10th Gen 1065G7 8GB RAM 1 TB HDD (14 inch FHD Display)/2GB NVIDIA Graphics/ Windows 10 Genuine,Rs. 143000,Rs. 142800
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i7 11th Gen 8GB RAM 1 TB HDD+256GBSDD (15.6 inch FHD Display)/2GB NVIDIA Graphics/Backlit Keyboard/ Windows 10 Genuine,Rs. 155000,Rs. 149500
 In Stock,Lenovo,Lenovo IdeaPad 3 Intel Core i5 11th Gen 8GB RAM 1 TB HDD+256GBSDD (15.6 inch FHD Display)/2GB NVIDIA Graphics/Backlit Keyboard/ Windows 10 Genuine,Rs. 144000,Rs. 143500
 In Stock,Lenovo,"Lenovo IdeaPad (ULTRABOOK) Slim 9i 2021 11th Gen i7-1165G7 / 16GB RAM / 512GB SSD / 14"" 4K Touch display",,Rs. 220000
 In Stock,Lenovo,"Lenovo V14-IGL N4020 Intel Celeron/4gb RAM/1TB HDD/14"" HD Laptop",Rs. 55000,Rs. 49000
 In Stock,Lenovo,Lenovo V15 Intel Core i3 10th Gen 15-inch HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home,Rs. 70000,Rs. 62000
 In Stock,Lenovo,"Lenovo Ideapad 3 core  i5 10th Gen / 4GB RAM / 1 TB / 14"" FHD display/DOS",Rs. 82000,Rs. 77000
 In Stock,Lenovo," LENOVO IP3, CORE I5-10th Gen/12GB/1TB/15.6""FHD/Touchscreen/Win-10 ",Rs. 95000,Rs. 90000
 In Stock,1.35,"Lenovo Yoga C940 i7 10TH Gen / 12GB RAM / 512GB SSD / 13.3"" FHD 360 TouchScreen",Rs. 173000,Rs. 168500
 In Stock,Lenovo," LENOVO Flex 5 AMD RYZEN-7-4700/8GB/512GB SSD/14.0""FHD IPS Touch/Win-10",Rs. 120000,Rs. 117000
 In Stock,Lenovo,"Lenovo Yoga 7i i5 11th Gen / 8GB RAM / 256GB SSD / 15.6"" FHD 360-degree Touchscreen",Rs. 109000,Rs. 106000
 In Stock,Lenovo,"Lenovo IdeaPad L3 15ITL6 Celeron 10th Gen / 4GB RAM / 256GB SSD / 15.6"" FHD display",Rs. 55000,Rs. 47999
 In Stock,Lenovo,Lenovo Legion 5i i7 10th Gen / GTX 1660Ti / 15.6'' 144Hz Display / 16GB RAM / 512GB SSD / RGB Keyboard,Rs. 180000,Rs. 177000
 In Stock,Lenovo,Lenovo IdeaPad IP s145 / Celeron / 4GB / 500 GB SATA ,,Rs. 39500
 In Stock,1.75,"Lenovo ThinkPad X390 / i7 / 16GB / 256 SSD / 13.3"" FHD",Rs. 225000,Rs. 219900
 In Stock,Lenovo,Lenovo IdeaPad 310 i3/7gen/4gb/1tb,,Rs. 47990
 In Stock,1.75,Lenovo ThinkPad L490/ i5 / 8GB / 512 HDD / 14.0,Rs. 115000,Rs. 111800
 In Stock,Lenovo,Lenovo IdeaPad 310 i5/8gen/4gb/1tb,,Rs. 61190
 In Stock,Lenovo,Lenovo Ideapad s540 i5/10gen/256ssd/8gb ram/2gb graphics/14inc GHD,,Rs. 115000
 Out of Stock,MSI,"MSI GL62 7QF 15.6""(7th Gen i7, 8GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 118000
 In Stock,Lenovo,Lenovo IP s145 i5/8gen/4gb/1tb/14inc FHD,,Rs. 61190
 In Stock,Lenovo,Lenovo Idea Pad S340 i5/10gen/8gb/1tb/14inc,,Rs. 82990
 Out of Stock,MSI,MSI Stealth 15M A11UEK Notebook Intel® Core™ i7 11th Gen 16 GB 512 GB SSD NVIDIA GeForce RTX 3060 Wi-Fi 6 (802.11ax) Windows 10 Home Grey,,Rs. 271000
 Out of Stock,MSI,"MSI GP66 Leopard10UEF 10th Gen i7 with 16GB RAM, 1TB SSD, GeForce RTX 3060 GDDR6  Win10",,Rs. 262500
 Out of Stock,MSI,"MSI GL62 7RDX 15.6""(7th Gen i7, 8GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 118000
 Out of Stock,MSI,"MSI GP62M 7REX Leopard Pro 15.6""(7th Gen i7, 8GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 130000
 Out of Stock,MSI,"MSI GP62MVR 7RFX 15.6""(7th Gen i7, 16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 169000
 Out of Stock,MSI,"MSI GE62VR 7RF Apache Pro 15.6""(7th Gen i7,16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 200000
 Out of Stock,MSI,"MSI GL63 8RC  15.6""(8th Gen i7, 8GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 130000
 Out of Stock,MSI,"MSI GP63 Leopard 8RE  15.6""(8th Gen i7, 16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 230000
 Out of Stock,MSI,"MSI GT75 Titan 8RG 15.6""(8th Gen i7, 16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 500000
 Out of Stock,Cooler,MasterBox 5 MSI Edition,,Rs. 17500
 Out of Stock,MSI,"MSI GS65050 Stealth THIN-050 144Hz 7ms Ultra Thin 4.9mm Bezel Gaming Laptop i7-8750H (6 cores) GTX 1060 6G, 16GB 512G, 15.6""",,Rs. 303000
 Out of Stock,MSI,MSI CUBI 2-7th Gen Intel Pentium 4415U 2.3 GHz,,Rs. 35000
 Out of Stock,MSI,MSI CUBI 2-7th Gen Intel Celeron 3865U 1.8 GHz,,Rs. 29000
 Out of Stock,MSI,MSI PS42 Modern 8RA,,Rs. 135200
 Out of Stock,MSI,MSI PS63 8RC,,Rs. 145000
 Out of Stock,MSI,MSI GL63 8RC,,Rs. 130000
 Out of Stock,MSI,MSI GF63 8RC,,Rs. 138000
 Out of Stock,MSI,MSI GP63 Leopard 8RE,,Rs. 215000
 Out of Stock,MSI,MSI GL63 8SD,,Rs. 190000
 Out of Stock,MSI,MSI GL63 8SE,,Rs. 292000
 Out of Stock,MSI,GS65 Stealth 8SF,,Rs. 359000
 Out of Stock,MSI,GE63 Raider RGB 8SF,,Rs. 292000
 Out of Stock,MSI,MSI Trident 3,,Rs. 157500
 Out of Stock,MSI,MSI Modern 14 A10M Notebook,,Rs. 129000
 Out of Stock,MSI,MSI Prestige 15 10SC,,Rs. 215000
 Out of Stock,MSI,MSI GL63 9RC Gaming Notebook,,Rs. 112900
 Out of Stock,MSI,MSI GP65 Leopard 9SE Gaming Notebook,,Rs. 245000
 Out of Stock,MSI,MSI GE65 Raider 9SE Gaming Notebook,,Rs. 282000
 Out of Stock,MSI,MSI Gaming GL65 9SDK Gaming LAptop with intel Corei7-9750H 9th Gen 15.6-inch Display,,Rs. 209000
 Out of Stock,MSI,MSI Alpha 15 A3DD Gaming Laptop AMD Ryzen7,,Rs. 154000
 Out of Stock,MSI,"MSI Modern 15 A11SB i5 11th Gen / MX450 / 8GB RAM / 512GB SSD / 15.6"" FHD Display",,Rs. 138000
 Out of Stock,MSI,"MSI Modern 14 B11M i5 10th Gen / Intel UHD / 8GB RAM / 512GB SSD / 14"" FHD Display",,Rs. 94000
 Out of Stock,MSI,"MSI GL65 Leopard 10SDR Gaming Laptop / i7-10750H / GTX 1660 Ti / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz display",Rs. 202000,Rs. 198200
 Out of Stock,MSI,MSI GS66 Stealth 10UG Ultra thin Light Gaming Laptop,,Rs. 388500
 Out of Stock,MSI,MSI Modern 14B10MW,,Rs. 94000
 Out of Stock,MSI,MSI GE66 Raider 10SF i7 10TH GEN / RTX 2070 DDR6 8 GB / 15.6 inches / 1TB SSD/ 16GB RAM/ Windows 10 Genuine,Rs. 332000,Rs. 330000
 Out of Stock,MSI,MSI Bravo 15 A4DCR Gaming Laptop,,Rs. 139500
 Out of Stock,N/A,"MSI Prestige 15 A11SCS i7 11th Gen / GTX 1650Ti / 16GB RAM / 1TB SSD / 15.6"" FHD Display",Rs. 24100,Rs. 241000
 Out of Stock,MSI,"MSI Modern 15 A11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 15.6"" FHD",,Rs. 137000
 In Stock,MSI,"MSI Modern 14 B4MW Ryzen 7 4700U / 8GB RAM / 256GB SSD / 14"" FHD Display",,"Rs. 113,000"
 In Stock,MSI,"MSI Modern 15 A10M i5 10th Gen / 8GB RAM / 512GB SSD / 15.6"" FHD display",,"Rs. 110,000"
 In Stock,MSI,"MSI Modern 14 B11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 14"" FHD",,"Rs. 135,000"
 In Stock,MSI,MSI GF65 Thin 10UE 15.6-inch gaming laptop,Rs. 207000,Rs. 205000
 In Stock,MSI,"MSI Summit B15 A11M i5 11th Gen / 8GB RAM / Iris Xe / 512GB SSD / 15.6"" FHD Display",,"Rs. 138,000"
 In Stock,MSI,"MSI GE66 Raider 10UG Gaming Laptop with 15.6"" 300Hz 3ms Intel Core i7-10870H RTX3070 16GB 2TB NVMe SSD Win10 VR Ready",,Rs. 370000
 In Stock,MSI,MSI GL65 9SEK Gaming Notebook with RTX Series Graphic Card,,Rs. 194000
 In Stock,MSI,"MSI GL65 Leopard 9SCXR Laptop, I5 CPU, GTX 1650 4GB Graphics/8GB/512GB NVME",Rs. 130000,Rs. 128500
 In Stock,MSI,"MSI GE66 Raider 10SF i7 10TH GEN with RTX 2070, 15.6"" 240Hz FHD, 1TB SSD, 16GB RAM",,Rs. 303000
 In Stock,MSI,"MSI Prestige 15 A11SCX i7 11th Gen / GTX 1650 Ti / 16GB RAM / 512GB SSD / 15.6"" FHD Display",,Rs. 207600
 In Stock,MSI,PS42 Modern 8MO,,Rs. 112900
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-inch Laptop (Core i5 7th Gen/4GB/500GB/LINUX),Rs. 83900,Rs. 71315
 Out of Stock,DELL,Dell Inspiron 15-3567 15.6-inch Notebook (Core i3 6th Gen -6006U/4GB/1TB/Intel Graphics 520),,Rs. 49600
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-Inch Notebook (Core I5 7th Gen -7200U/8GB/1TB/AMD Radeon R7 M445 Graphics With 4GB GDDR5),Rs. 97900,Rs. 83215
 Out of Stock,DELL,Dell Inspiron 14-5468 14-Inch Notebook (Core I7 7th Gen -7200U/4GB/1TB/Win10/AMD Radeon R7 M440 Graphics With 2G DDR3),Rs. 103900,Rs. 88315
 Out of Stock,DELL,Dell Inspiron 15-5567 15.6-inch Laptop (Core i7 7th Gen/8GB/2TB/LINUX),Rs. 95115,Rs. 91300
 Out of Stock,DELL,DELL 3576- I5-8TH GEN,,Rs. 65350
 Out of Stock,DELL,Dell Inspiron 15 3593  |i7-1065G7U|8GB|1TB|Ubuntu|Nvidia MX 230 2GB GDDR5|FHD|laptop,,Rs. 95000
 Out of Stock,DELL,Dell Inspiron 14 3493 i5-10th GEN|4GB|1TB|Ubuntu|INTEL UHD GRAPHICS,,Rs. 67000
 In Stock,DELL,"Dell Latitude 3410 i3 10th Gen / 4GB RAM / 1TB HDD / 14"" HD Display",,Rs. 62000
 In Stock,DELL,"Dell Vostro 3400 i3 10th Gen / 4GB RAM / 1TB HDD / 14"" HD Display",,Rs. 59000
